Ano 1º Sintoma(s),0-19,20-39,40-59,60-79,80 e +,Total
2014,52143,88100,63021,22832,1992,228088
2015,166866,277468,209460,86692,8848,749334
2016,39270,71023,51574,19798,2072,183737
2017,2719,3675,2190,742,79,9405
2018,4020,7506,5691,2231,223,19671
2019,94139,161486,128171,54280,5421,443497
2020,40402,73914,61756,25505,2824,204401
2021,35061,55260,46614,19007,1888,157830
2022,73220,121117,102665,47616,5690,350308
2023,75975,113245,96299,45489,5747,336755
Total,583815,972794,767441,324192,34784,2683026
