Div.adm.estadual de notific,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
3501 Grande São Paulo,66249,133844,28672,2046,1873,36867,3863,11406,18170,21692,324682
3502 Araçatuba,9718,20674,10739,425,2677,34794,12756,12799,31518,12500,148600
3503 Araraquara,4913,26461,10565,364,1911,45413,3792,1175,41508,22781,158883
3504 Baixada Santista,7168,21348,5797,721,390,4784,2824,20833,1343,4505,69713
3505 Barretos,1304,11815,5384,147,609,16326,841,505,7196,6584,50711
3506 Bauru,7436,22535,2500,152,479,41959,4179,3813,12218,34753,130024
3507 Campinas,72535,139442,10208,1086,2299,51574,10239,7613,38798,22454,356248
3508 Franca,760,4664,8115,295,1355,23906,723,532,12729,8116,61195
3509 Marília,5266,55877,2157,202,309,25084,18464,6403,30834,44324,188920
3510 Piracicaba,4361,61223,3848,184,328,12561,10670,8687,7856,6298,116016
3511 Presidente Prudente,2039,13056,18520,138,279,17051,24142,6711,28755,75205,185896
3512 Registro,153,3211,614,57,26,548,3755,357,83,353,9157
3513 Ribeirão Preto,2641,14628,51844,574,1172,25416,26179,1464,21307,22466,167691
3514 São João da Boa Vista,7707,35502,1290,292,219,8286,14766,364,4278,2520,75224
3515 São José do Rio Preto,8334,63436,26572,1502,4283,81065,38289,40593,79694,19975,363743
3516 Sorocaba,1881,73818,4974,154,613,2684,4505,29575,6212,17146,141562
3517 Taubaté,25523,47326,7893,1013,766,14794,24196,4932,7475,14472,148390
Total,227988,748860,199692,9352,19588,443112,204183,157762,349974,336144,2696655
