Div.adm.estadual de notific,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
3501 Grande São Paulo,25,62,24,0,1,8,2,2,8,13,145
3502 Araçatuba,4,24,4,1,3,28,6,8,26,7,111
3503 Araraquara,2,14,7,1,0,18,4,1,30,25,102
3504 Baixada Santista,9,18,4,0,0,5,1,15,1,0,53
3505 Barretos,0,8,0,0,1,15,1,0,9,6,40
3506 Bauru,11,13,2,0,0,53,1,3,8,45,136
3507 Campinas,21,64,2,0,4,21,4,2,33,10,161
3508 Franca,0,2,3,0,0,15,1,0,15,3,39
3509 Marília,2,67,2,0,0,23,21,5,31,66,217
3510 Piracicaba,3,41,4,0,0,6,4,1,7,5,71
3511 Presidente Prudente,2,10,37,0,0,4,21,4,25,64,167
3512 Registro,0,2,1,0,0,1,2,0,0,0,6
3513 Ribeirão Preto,1,6,14,0,0,10,16,2,13,13,75
3514 São João da Boa Vista,3,25,1,0,0,4,9,0,6,1,49
3515 São José do Rio Preto,4,79,4,3,3,52,37,20,72,22,296
3516 Sorocaba,1,45,2,0,2,1,2,2,3,7,65
3517 Taubaté,6,28,5,0,0,9,12,4,3,6,73
Total,94,508,116,5,14,273,144,69,290,293,1806
