Ano 1º Sintoma(s),Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
2014,0,1,0,4,2,2,19,29,7,10,9,11,94
2015,0,1,2,0,9,8,54,127,37,51,100,120,509
2016,9,1,1,1,2,2,10,28,9,10,17,26,116
2017,0,0,0,0,0,0,2,1,0,0,1,1,5
2018,0,0,0,0,0,0,4,2,2,2,3,2,15
2019,2,2,0,1,0,5,31,54,19,28,51,80,273
2020,0,1,1,0,1,2,22,36,8,6,29,38,144
2021,0,1,0,0,0,3,9,22,7,4,14,9,69
2022,0,0,2,4,2,1,29,60,31,28,53,81,291
2023,0,1,1,5,1,6,29,55,22,19,68,87,294
Total,11,8,7,15,17,29,209,414,142,158,345,455,1810
